crsyr,origin_loc,cross_loc,us_loc,origin_coords,cross_coords,us_coords,flow
1988,Nayarit,"Tijuana, Baja California del Norte","Merced, CA ","(-104.87148535201122, 21.8438765)","(-117.0412813, 32.5132984)","(-120.7678602, 37.1641544)","LINESTRING (-104.8714853520112 21.8438765, -117.0412813 32.5132984, -120.7678602 37.1641544)"
1990,Nayarit,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-104.87148535201122, 21.8438765)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-104.8714853520112 21.8438765, -117.0412813 32.5132984, -118.1362299 33.760599)"
1968,Nayarit,"Tijuana, Baja California del Norte","San Jose, CA ","(-104.87148535201122, 21.8438765)","(-117.0412813, 32.5132984)","(-121.890583, 37.3361905)","LINESTRING (-104.8714853520112 21.8438765, -117.0412813 32.5132984, -121.890583 37.3361905)"
1981,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","Fresno, CA ","(-117.0412813, 32.5132984)","(-117.0412813, 32.5132984)","(-119.7848307, 36.7394421)","LINESTRING (-117.0412813 32.5132984, -117.0412813 32.5132984, -119.7848307 36.7394421)"
1986,"Torreón, Coahuila de Zaragoza","Tijuana, Baja California del Norte","San Jose, CA ","(-103.410512, 25.542698)","(-117.0412813, 32.5132984)","(-121.890583, 37.3361905)","LINESTRING (-103.410512 25.542698, -117.0412813 32.5132984, -121.890583 37.3361905)"
1990,Nayarit,"Tijuana, Baja California del Norte","San Jose, CA ","(-104.87148535201122, 21.8438765)","(-117.0412813, 32.5132984)","(-121.890583, 37.3361905)","LINESTRING (-104.8714853520112 21.8438765, -117.0412813 32.5132984, -121.890583 37.3361905)"
1984,Nayarit,"Tijuana, Baja California del Norte","Fresno, CA ","(-104.87148535201122, 21.8438765)","(-117.0412813, 32.5132984)","(-119.7848307, 36.7394421)","LINESTRING (-104.8714853520112 21.8438765, -117.0412813 32.5132984, -119.7848307 36.7394421)"
1982,Nayarit,"Tijuana, Baja California del Norte","San Jose, CA ","(-104.87148535201122, 21.8438765)","(-117.0412813, 32.5132984)","(-121.890583, 37.3361905)","LINESTRING (-104.8714853520112 21.8438765, -117.0412813 32.5132984, -121.890583 37.3361905)"
1977,Nayarit,"Tijuana, Baja California del Norte","San Jose, CA ","(-104.87148535201122, 21.8438765)","(-117.0412813, 32.5132984)","(-121.890583, 37.3361905)","LINESTRING (-104.8714853520112 21.8438765, -117.0412813 32.5132984, -121.890583 37.3361905)"
1986,Nayarit,"Tijuana, Baja California del Norte","San Jose, CA ","(-104.87148535201122, 21.8438765)","(-117.0412813, 32.5132984)","(-121.890583, 37.3361905)","LINESTRING (-104.8714853520112 21.8438765, -117.0412813 32.5132984, -121.890583 37.3361905)"
1989,"Tepic, Nayarit","Tijuana, Baja California del Norte","San Jose, CA ","(-104.894676, 21.5043446)","(-117.0412813, 32.5132984)","(-121.890583, 37.3361905)","LINESTRING (-104.894676 21.5043446, -117.0412813 32.5132984, -121.890583 37.3361905)"
1978,Nayarit,"Tijuana, Baja California del Norte","San Jose, CA ","(-104.87148535201122, 21.8438765)","(-117.0412813, 32.5132984)","(-121.890583, 37.3361905)","LINESTRING (-104.8714853520112 21.8438765, -117.0412813 32.5132984, -121.890583 37.3361905)"
1980,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","San Jose, CA ","(-117.0412813, 32.5132984)","(-117.0412813, 32.5132984)","(-121.890583, 37.3361905)","LINESTRING (-117.0412813 32.5132984, -117.0412813 32.5132984, -121.890583 37.3361905)"
1976,"San Luis Potosí, San Luis Potosí","Mexicali, Baja California del Norte","Fresno, CA ","(-100.9763993, 22.1516472)","(-115.506256, 32.658421)","(-119.7848307, 36.7394421)","LINESTRING (-100.9763993 22.1516472, -115.506256 32.658421, -119.7848307 36.7394421)"
1967,"Celaya, Guanajuato","Nuevo Laredo, Tamaulipas","San Angelo, TX ","(-100.8139609, 20.5218445)","(-99.5185992, 27.4761506)","(-100.4398442, 31.4648357)","LINESTRING (-100.8139609 20.5218445, -99.5185992 27.4761506, -100.4398442 31.4648357)"
1984,Guanajuato,", Coahuila de Zaragoza","Dallas, TX ","(-101.0, 20.9876996)","(-101.0010806, 25.4120161)","(-96.7968559, 32.7762719)","LINESTRING (-101 20.9876996, -101.0010806 25.4120161, -96.7968559 32.7762719)"
1986,"Ciudad de México, Distrito Federal","Piedras Negras, Coahuila de Zaragoza","Dallas, TX ","(-99.1269583, 19.2667215)","(-100.5267104, 28.6998135)","(-96.7968559, 32.7762719)","LINESTRING (-99.1269583 19.2667215, -100.5267104 28.6998135, -96.7968559 32.7762719)"
1972,"León, Guanajuato","Nuevo Laredo, Tamaulipas","San Francisco, CA ","(-101.6825081, 21.1218598)","(-99.5185992, 27.4761506)","(-122.419906, 37.7790262)","LINESTRING (-101.6825081 21.1218598, -99.5185992 27.4761506, -122.419906 37.7790262)"
1972,"San Luis Potosí, San Luis Potosí",", Coahuila de Zaragoza","Dallas, TX ","(-100.9763993, 22.1516472)","(-101.0010806, 25.4120161)","(-96.7968559, 32.7762719)","LINESTRING (-100.9763993 22.1516472, -101.0010806 25.4120161, -96.7968559 32.7762719)"
1975,"León, Guanajuato",", Coahuila de Zaragoza","San Francisco, CA ","(-101.6825081, 21.1218598)","(-101.0010806, 25.4120161)","(-122.419906, 37.7790262)","LINESTRING (-101.6825081 21.1218598, -101.0010806 25.4120161, -122.419906 37.7790262)"
1974,Guanajuato,", Coahuila de Zaragoza","Houston, TX ","(-101.0, 20.9876996)","(-101.0010806, 25.4120161)","(-95.3676974, 29.7589382)","LINESTRING (-101 20.9876996, -101.0010806 25.4120161, -95.3676974 29.7589382)"
1970,Guanajuato,", Coahuila de Zaragoza","Dallas, TX ","(-101.0, 20.9876996)","(-101.0010806, 25.4120161)","(-96.7968559, 32.7762719)","LINESTRING (-101 20.9876996, -101.0010806 25.4120161, -96.7968559 32.7762719)"
1978,Guanajuato,"Piedras Negras, Coahuila de Zaragoza","San Antonio, TX ","(-101.0, 20.9876996)","(-100.5267104, 28.6998135)","(-98.4951405, 29.4246002)","LINESTRING (-101 20.9876996, -100.5267104 28.6998135, -98.49514050000001 29.4246002)"
1982,Guanajuato,", Coahuila de Zaragoza","Dallas, TX ","(-101.0, 20.9876996)","(-101.0010806, 25.4120161)","(-96.7968559, 32.7762719)","LINESTRING (-101 20.9876996, -101.0010806 25.4120161, -96.7968559 32.7762719)"
1990,"Monterrey, Nuevo León","Piedras Negras, Coahuila de Zaragoza","Abilene, TX ","(-100.315258, 25.6802019)","(-100.5267104, 28.6998135)","(-99.7475905, 32.44645)","LINESTRING (-100.315258 25.6802019, -100.5267104 28.6998135, -99.7475905 32.44645)"
1991,"Ciudad de México, Distrito Federal","Nuevo Laredo, Tamaulipas","Dallas, TX ","(-99.1269583, 19.2667215)","(-99.5185992, 27.4761506)","(-96.7968559, 32.7762719)","LINESTRING (-99.1269583 19.2667215, -99.5185992 27.4761506, -96.7968559 32.7762719)"
1965,Guanajuato,", Coahuila de Zaragoza","San Angelo, TX ","(-101.0, 20.9876996)","(-101.0010806, 25.4120161)","(-100.4398442, 31.4648357)","LINESTRING (-101 20.9876996, -101.0010806 25.4120161, -100.4398442 31.4648357)"
1978,Guanajuato,"Piedras Negras, Coahuila de Zaragoza","San Antonio, TX ","(-101.0, 20.9876996)","(-100.5267104, 28.6998135)","(-98.4951405, 29.4246002)","LINESTRING (-101 20.9876996, -100.5267104 28.6998135, -98.49514050000001 29.4246002)"
1975,", Puebla","Piedras Negras, Coahuila de Zaragoza","San Antonio, TX ","(-106.00201232954544, 35.987575500000005)","(-100.5267104, 28.6998135)","(-98.4951405, 29.4246002)","LINESTRING (-106.0020123295454 35.98757550000001, -100.5267104 28.6998135, -98.49514050000001 29.4246002)"
1985,Guanajuato,", Coahuila de Zaragoza","San Antonio, TX ","(-101.0, 20.9876996)","(-101.0010806, 25.4120161)","(-98.4951405, 29.4246002)","LINESTRING (-101 20.9876996, -101.0010806 25.4120161, -98.49514050000001 29.4246002)"
1970,Guanajuato,"Reynosa, Tamaulipas","Dallas, TX ","(-101.0, 20.9876996)","(-98.2963932, 26.0704018)","(-96.7968559, 32.7762719)","LINESTRING (-101 20.9876996, -98.2963932 26.0704018, -96.7968559 32.7762719)"
1979,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.878113, 19.207098)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-101.878113 19.207098, -117.0412813 32.5132984, -118.1362299 33.760599)"
1987,Michoacán,"Mexicali, Baja California del Norte","Orange County, CA ","(-101.878113, 19.207098)","(-115.506256, 32.658421)","(-117.8704931, 33.7500378)","LINESTRING (-101.878113 19.207098, -115.506256 32.658421, -117.8704931 33.7500378)"
