crsyr1,origin_loc,cross_loc,us_loc
1970,Guanajuato,"Tijuana, Baja California del Norte","San Jose, CA "
1985,Guanajuato,"Tijuana, Baja California del Norte","Santa Cruz-Watsonville, CA "
1970,Guanajuato,"Tijuana, Baja California del Norte","Ventura, CA "
1980,Guanajuato,"Piedras Negras, Coahuila de Zaragoza","Kansas City, MO-KS "
1979,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1969,"Ciudad de México, Distrito Federal","Mexicali, Baja California del Norte","Santa Cruz-Watsonville, CA "
1977,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA "
1979,Guanajuato,"Mexicali, Baja California del Norte","Reno, NV "
1969,Guanajuato,"Mexicali, Baja California del Norte","Merced, CA "
1985,Guanajuato,"Tijuana, Baja California del Norte","Reno, NV "
1971,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA "
1986,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1969,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1979,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1979,Guanajuato,"Tijuana, Baja California del Norte","Bakersfield, CA "
1984,Guanajuato,"Mexicali, Baja California del Norte",
1977,Guanajuato,"Tijuana, Baja California del Norte",
1956,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1967,Guanajuato,"Tijuana, Baja California del Norte",
1941,Guanajuato,"Matamoros, Tamaulipas","San Antonio, TX "
1984,Guanajuato,"Matamoros, Tamaulipas","Miami, FL "
1973,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1980,"Guanajuato, Guanajuato","Mexicali, Baja California del Norte",
1970,"León, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA "
1976,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1978,"Zitlala, Jalisco","Tijuana, Baja California del Norte","San Diego, CA "
1924,Jalisco,"Nuevo Laredo, Tamaulipas",
1975,Jalisco,"Tijuana, Baja California del Norte",
1978,Jalisco,"Puerto Peñasco, Sonora","Phoenix-Mesa, AZ "
1971,"León, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA "
1970,Jalisco,"Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA "
1981,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA "
1977,Jalisco,"Tijuana, Baja California del Norte",
1976,"Zitlala, Jalisco","Tijuana, Baja California del Norte","San Diego, CA "
1968,México,"San Luis Río Colorado, Sonora","Riverside-San Bernardino, CA "
1978,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA "
1979,Jalisco,"Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA "
1988,Jalisco,"Agua Prieta, Sonora","Vallejo-Fairfield-Napa, CA "
1944,"Ciudad de México, Distrito Federal","Matamoros, Tamaulipas","Vallejo-Fairfield-Napa, CA "
1977,"León, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA "
1976,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1979,"Arandas, Jalisco","Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA "
1950,Jalisco,"Juárez, Chihuahua",
1976,Jalisco,"Tijuana, Baja California del Norte",
1973,Jalisco,"Tijuana, Baja California del Norte","Ventura, CA "
1979,"Culiacan, Sinaloa","Tijuana, Baja California del Norte","San Diego, CA "
1972,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA "
1970,Jalisco,"Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA "
1979,"Zitlala, Jalisco","Tijuana, Baja California del Norte","Orange County, CA "
1976,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA "
1979,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA "
1979,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA "
1945,"Ciudad de México, Distrito Federal","San Luis Río Colorado, Sonora",
1969,"Cochoapa el Grande, Jalisco","Mexicali, Baja California del Norte","Vallejo-Fairfield-Napa, CA "
1976,Jalisco,"Mexicali, Baja California del Norte","Chicago, IL "
1985,"Purísima del Rincón, Guanajuato","Nuevo Laredo, Tamaulipas",
1979,"Mexicali, Baja California del Norte","Tijuana, Baja California del Norte","San Diego, CA "
1980,Jalisco,"Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA "
1975,"Purísima del Rincón, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA "
1980,Jalisco,"Tijuana, Baja California del Norte",
1979,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA "
1973,"Delicias, Chihuahua","Tijuana, Baja California del Norte","San Diego, CA "
1979,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA "
1986,Jalisco,"Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA "
1979,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte",
1977,"León, Guanajuato","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1981,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","Orange County, CA "
1979,"Purísima del Rincón, Guanajuato","Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA "
1973,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA "
1979,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA "
1986,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA "
1979,"Arandas, Jalisco","Tijuana, Baja California del Norte","Bakersfield, CA "
1976,"Zitlala, Jalisco","Tijuana, Baja California del Norte","San Diego, CA "
1966,"San Francisco del Rincón, Guanajuato","Mexicali, Baja California del Norte","Fresno, CA "
1974,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA "
1981,Jalisco,"Tijuana, Baja California del Norte",
1977,Jalisco,"San Luis Río Colorado, Sonora","Fresno, CA "
1973,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1971,"Zitlala, Jalisco","Matamoros, Tamaulipas","Chicago, IL "
1973,Jalisco,"Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA "
1965,"San Francisco del Rincón, Guanajuato","Mexicali, Baja California del Norte",
1985,"Zitlala, Jalisco","Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA "
1974,Jalisco,"Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA "
1979,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA "
1955,", México","Reynosa, Tamaulipas",
1988,,"Tijuana, Baja California del Norte","Riverside-San Bernardino, CA "
1973,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA "
1987,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte",
1978,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA "
1968,"León, Guanajuato","Mexicali, Baja California del Norte","Bakersfield, CA "
1983,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA "
1977,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1943,", México","Matamoros, Tamaulipas",
1972,"Zitlala, Jalisco","Tijuana, Baja California del Norte",
1970,"Cochoapa el Grande, Jalisco","Matamoros, Tamaulipas","Los Angeles-Long Beach, CA "
1981,"Zapotlán El Grande, Jalisco","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1971,"Zitlala, Jalisco","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1972,"Torreón, Coahuila de Zaragoza","Tijuana, Baja California del Norte",
1928,Jalisco,"Juárez, Chihuahua",
1972,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA "
1972,Jalisco,"Juárez, Chihuahua",
1977,Jalisco,"Matamoros, Tamaulipas","Vallejo-Fairfield-Napa, CA "
1971,"Purísima del Rincón, Guanajuato","Tijuana, Baja California del Norte","San Francisco, CA "
1984,"León, Guanajuato","Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA "
1975,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA "
1974,Jalisco,"Tijuana, Baja California del Norte","Riverside-San Bernardino, CA "
1982,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","Chicago, IL "
1980,"Zitlala, Jalisco","Tijuana, Baja California del Norte","San Diego, CA "
1975,Jalisco,"Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA "
1969,"León, Guanajuato","Matamoros, Tamaulipas","Chicago, IL "
1979,"León, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA "
1979,"León, Guanajuato","Tijuana, Baja California del Norte",
1978,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA "
1978,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA "
1983,Jalisco,"Tijuana, Baja California del Norte","Fresno, CA "
1983,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Riverside-San Bernardino, CA "
1979,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA "
1973,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA "
1975,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1985,"San Francisco del Rincón, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA "
1974,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA "
1977,"León, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA "
1973,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA "
1987,Jalisco,"Tijuana, Baja California del Norte",
1973,"León, Guanajuato","Tijuana, Baja California del Norte","Ventura, CA "
1985,Guanajuato,"Reynosa, Tamaulipas","Merced, CA "
1981,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA "
1987,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA "
1986,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1972,Guanajuato,"Mexicali, Baja California del Norte","Los Angeles-Long Beach, CA "
1987,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA "
1980,Guanajuato,"Tijuana, Baja California del Norte","Merced, CA "
1968,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1964,Guanajuato,"Tijuana, Baja California del Norte",
1962,Guanajuato,"Nuevo Laredo, Tamaulipas","El Paso, TX "
1953,Guanajuato,"Piedras Negras, Coahuila de Zaragoza",
1974,Guanajuato,"Nogales, Sonora",
1980,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1974,Guanajuato,"Tijuana, Baja California del Norte",
1981,Guanajuato,"Mexicali, Baja California del Norte",
1977,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1963,Guanajuato,"Juárez, Chihuahua","Fresno, CA "
1960,"Durango, Durango","Juárez, Chihuahua",
1972,"León, Guanajuato","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1988,Guanajuato,"Tijuana, Baja California del Norte","Orange County, CA "
1948,Guanajuato,"Juárez, Chihuahua",
1977,Guanajuato,"Tijuana, Baja California del Norte","Ventura, CA "
1949,Guanajuato,"Tijuana, Baja California del Norte","Santa Barbara-Santa Maria-Lompoc, CA "
1958,Guanajuato,"Nuevo Laredo, Tamaulipas","Vallejo-Fairfield-Napa, CA "
1980,Guanajuato,"Juárez, Chihuahua","Los Angeles-Long Beach, CA "
1987,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1940,Guanajuato,"Juárez, Chihuahua","Fresno, CA "
1981,Guanajuato,"Tijuana, Baja California del Norte","Santa Cruz-Watsonville, CA "
1985,Guanajuato,"Mexicali, Baja California del Norte","San Francisco, CA "
1982,"León, Guanajuato","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1977,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1979,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1979,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1986,"Silao, Guanajuato","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1976,Guanajuato,"Tijuana, Baja California del Norte",
1981,"Iliatenco, Jalisco","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1973,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1972,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1974,"Silao, Guanajuato","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
2007,Guanajuato,"Altar, Sonora",
1997,"Mexicali, Baja California del Norte","Mexicali, Baja California del Norte",
2001,"Tecuala, Nayarit","Altar, Sonora","Denver, CO "
2004,Guanajuato,"Altar, Sonora","Sacramento, CA "
1988,"Tecuala, Nayarit","Tijuana, Baja California del Norte","Greeley, CO "
2003,Guanajuato,"Agua Prieta, Sonora",
1999,"Irapuato, Guanajuato","Juárez, Chihuahua","Denver, CO "
1995,"Saltillo, Coahuila de Zaragoza","Tijuana, Baja California del Norte","Salem, OR "
2002,Guanajuato,"Mexicali, Baja California del Norte","Sacramento, CA "
2003,"Loreto, Zacatecas","Agua Prieta, Sonora","Boulder-Longmont, CO "
1983,"Ciudad de México, Distrito Federal","Piedras Negras, Coahuila de Zaragoza","Orange County, CA "
1975,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte",
1973,Guanajuato,"Nuevo Laredo, Tamaulipas",
1983,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1974,Guanajuato,"Tijuana, Baja California del Norte","Orange County, CA "
1988,Guanajuato,"Tijuana, Baja California del Norte",
1986,Sonora,"Piedras Negras, Coahuila de Zaragoza","Houston, TX "
1954,"Ciudad de México, Distrito Federal","Reynosa, Tamaulipas","Dallas, TX "
1954,Guanajuato,"Juárez, Chihuahua","San Antonio, TX "
1982,"Querétaro, Querétaro","Tijuana, Baja California del Norte","San Antonio, TX "
1984,"Ciudad de México, Distrito Federal","Piedras Negras, Coahuila de Zaragoza","San Antonio, TX "
1981,"Guanajuato, Guanajuato","Reynosa, Tamaulipas","Houston, TX "
1973,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Orange County, CA "
1988,"Querétaro, Querétaro","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1975,"Mexicali, Baja California del Norte","Tijuana, Baja California del Norte","Bakersfield, CA "
1979,", México","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1979,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1991,"Mexicali, Baja California del Norte","Tijuana, Baja California del Norte","Orange County, CA "
1979,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Orange County, CA "
1973,"Zapotlán Tablas, Jalisco","Piedras Negras, Coahuila de Zaragoza",
1968,Jalisco,"Tijuana, Baja California del Norte",
1975,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1973,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte",
1988,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","San Diego, CA "
1971,"Zitlala, Jalisco","Tijuana, Baja California del Norte",
1985,Jalisco,"Tijuana, Baja California del Norte",
1984,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","San Jose, CA "
1977,Jalisco,"Río Bravo, Tamaulipas",
1979,Jalisco,"Tijuana, Baja California del Norte",
1966,Jalisco,"Matamoros, Tamaulipas","McAllen-Edinburg-Mission, TX "
1970,Jalisco,"Tijuana, Baja California del Norte","Orange County, CA "
1943,"Ciudad de México, Distrito Federal","Mexicali, Baja California del Norte",
1984,Jalisco,"Nuevo Laredo, Tamaulipas","Dallas, TX "
1978,Jalisco,"Miguel Alemán, Tamaulipas",
1942,"León, Guanajuato","Juárez, Chihuahua","Brownsville-Harlingen-San Benito, TX "
1944,"Ciudad de México, Distrito Federal","Miguel Alemán, Tamaulipas","Fresno, CA "
1986,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Dallas, TX "
1959,Jalisco,"Nuevo Laredo, Tamaulipas","Santa Cruz-Watsonville, CA "
1985,,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1975,Jalisco,"Tijuana, Baja California del Norte","Bakersfield, CA "
1980,"Zirándaro, Jalisco","Tecate, Baja California del Norte","Los Angeles-Long Beach, CA "
1978,"León, Guanajuato","Tijuana, Baja California del Norte",
1952,"Zitlala, Jalisco","Camargo, Tamaulipas",
1972,"Zitlala, Jalisco","Tijuana, Baja California del Norte","Riverside-San Bernardino, CA "
1979,Jalisco,"Tijuana, Baja California del Norte","Orange County, CA "
1980,Jalisco,"Tijuana, Baja California del Norte","Fresno, CA "
1981,Jalisco,", Coahuila de Zaragoza",
1984,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1980,Jalisco,"Tijuana, Baja California del Norte",
1958,"Ciudad de México, Distrito Federal","Juárez, Chihuahua",
1973,"Zitlala, Jalisco","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1973,Jalisco,"Tijuana, Baja California del Norte","Orange County, CA "
1977,"León, Guanajuato","Tijuana, Baja California del Norte","Sacramento, CA "
1985,Jalisco,"San Luis Río Colorado, Sonora","Los Angeles-Long Beach, CA "
1950,"Ciudad de México, Distrito Federal","Reynosa, Tamaulipas","McAllen-Edinburg-Mission, TX "
1969,Jalisco,"Tijuana, Baja California del Norte","Merced, CA "
1975,"León, Guanajuato","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1977,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1964,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Las Vegas, NV-AZ "
1974,"León, Guanajuato","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1986,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1988,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1977,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1984,"Zirándaro, Jalisco","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1988,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1985,"León, Guanajuato","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1975,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1979,"Ciudad de México, Distrito Federal","Nuevo Laredo, Tamaulipas","Houston, TX "
1972,"Cochoapa el Grande, Jalisco","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1968,Jalisco,"Mexicali, Baja California del Norte","Chicago, IL "
1974,"Cochoapa el Grande, Jalisco","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1973,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Santa Cruz-Watsonville, CA "
1951,Jalisco,"Mexicali, Baja California del Norte","Sacramento, CA "
1978,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1973,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1975,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1974,"Cochoapa el Grande, Jalisco","Tijuana, Baja California del Norte",
1986,"Cochoapa el Grande, Jalisco","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1978,Jalisco,"Tijuana, Baja California del Norte",
1967,"Cochoapa el Grande, Jalisco","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1950,"Morelia, Michoacán","Mexicali, Baja California del Norte","Las Vegas, NV-AZ "
1978,,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1973,"Cochoapa el Grande, Jalisco","Tijuana, Baja California del Norte","San Francisco, CA "
1980,"Cochoapa el Grande, Jalisco","Tijuana, Baja California del Norte","Riverside-San Bernardino, CA "
1986,Jalisco,"Tijuana, Baja California del Norte","Riverside-San Bernardino, CA "
1974,"Aguascalientes, Aguascalientes","Tijuana, Baja California del Norte","Ventura, CA "
1985,Jalisco,"Piedras Negras, Coahuila de Zaragoza","Chicago, IL "
1973,"Caborca, Sonora","Tijuana, Baja California del Norte","San Diego, CA "
1976,,"Tijuana, Baja California del Norte",
1976,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1972,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1980,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1979,Jalisco,"Tijuana, Baja California del Norte","Chicago, IL "
1977,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1977,"Cochoapa el Grande, Jalisco","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1988,Jalisco,"Nogales, Sonora","Santa Cruz-Watsonville, CA "
1968,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1978,Jalisco,"Tijuana, Baja California del Norte","Santa Cruz-Watsonville, CA "
1975,,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1973,Jalisco,"Tijuana, Baja California del Norte","Fresno, CA "
1974,Jalisco,"Tijuana, Baja California del Norte",
1958,"Cochoapa el Grande, Jalisco","Tijuana, Baja California del Norte","Orange County, CA "
1975,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1971,"Nogales, Sonora","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1976,Jalisco,"Tijuana, Baja California del Norte","Fresno, CA "
1974,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1984,"Cochoapa el Grande, Jalisco","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1976,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1977,"Cochoapa el Grande, Jalisco","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1978,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1972,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1985,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1984,Jalisco,"Tijuana, Baja California del Norte","Fresno, CA "
1984,,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1981,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1980,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1971,,"Tijuana, Baja California del Norte","Santa Barbara-Santa Maria-Lompoc, CA "
1950,"Tijuana, Baja California del Norte","Matamoros, Tamaulipas","Brownsville-Harlingen-San Benito, TX "
1986,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1972,Michoacán,"Tijuana, Baja California del Norte","Chicago, IL "
1980,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1985,"Tangancícuaro, Michoacán","Tijuana, Baja California del Norte","Santa Barbara-Santa Maria-Lompoc, CA "
1974,Michoacán,"Tijuana, Baja California del Norte","Santa Barbara-Santa Maria-Lompoc, CA "
1973,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1974,"Los Reyes, Michoacán","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1975,Michoacán,"Tijuana, Baja California del Norte","Santa Barbara-Santa Maria-Lompoc, CA "
1977,"Sinaloa, Sinaloa","Tijuana, Baja California del Norte","Fresno, CA "
1946,Michoacán,"Mexicali, Baja California del Norte",
1943,"Ciudad de México, Distrito Federal","Mexicali, Baja California del Norte","Riverside-San Bernardino, CA "
1974,"Apatzingán, Michoacán","Tijuana, Baja California del Norte","Orange County, CA "
1979,Michoacán,"Tijuana, Baja California del Norte","Santa Barbara-Santa Maria-Lompoc, CA "
1970,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1952,"Manzanillo, Colima","Tijuana, Baja California del Norte",
1986,"Pajacuarán, Michoacán","Tijuana, Baja California del Norte","Chicago, IL "
1982,Michoacán,"Tijuana, Baja California del Norte","Merced, CA "
1976,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Fresno, CA "
1975,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1976,"Tangancícuaro, Michoacán","Tijuana, Baja California del Norte","Santa Cruz-Watsonville, CA "
1977,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1984,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1974,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1979,"Angamacutiro, Michoacán","Piedras Negras, Coahuila de Zaragoza","Los Angeles-Long Beach, CA "
1972,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1974,Michoacán,"Tijuana, Baja California del Norte","Santa Cruz-Watsonville, CA "
1979,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1971,Michoacán,"Tijuana, Baja California del Norte",
1984,Michoacán,"Tijuana, Baja California del Norte","Santa Barbara-Santa Maria-Lompoc, CA "
