crsyr1,origin_loc,cross_loc,us_loc,origin_coords,cross_coords,us_coords
1987,"Fresnillo, Zacatecas","Tijuana, Baja California del Norte","Riverside-San Bernardino, CA ","(-103.01628907146873, 23.2249237)","(-116.964662, 32.5010188)","(-117.3455744, 34.0109957)"
1981,Guanajuato,"Mexicali, Baja California del Norte","Riverside-San Bernardino, CA ","(-101.0, 20.9876996)","(-115.448325, 32.6248622)","(-117.3455744, 34.0109957)"
1978,Guanajuato,"Mexicali, Baja California del Norte","Merced, CA ","(-101.0, 20.9876996)","(-115.448325, 32.6248622)","(-120.7678602, 37.1641544)"
1986,Guanajuato,"Tijuana, Baja California del Norte","Merced, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-120.7678602, 37.1641544)"
1950,Guanajuato,"Reynosa, Tamaulipas","Ventura, CA ","(-101.0, 20.9876996)","(-98.2963932, 26.0704018)","(-119.0779359, 34.4458248)"
1977,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Riverside-San Bernardino, CA ","(-99.1248161, 19.3997047)","(-116.964662, 32.5010188)","(-117.3455744, 34.0109957)"
1986,Guanajuato,"Tijuana, Baja California del Norte","Riverside-San Bernardino, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-117.3455744, 34.0109957)"
1988,Guanajuato,"Ojinaga, Chihuahua","Riverside-San Bernardino, CA ","(-101.0, 20.9876996)","(-104.4139362, 29.5498622)","(-117.3455744, 34.0109957)"
1978,Guanajuato,"Tijuana, Baja California del Norte","Merced, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-120.7678602, 37.1641544)"
1976,Guanajuato,"Tijuana, Baja California del Norte","Merced, CA ","(-101.0, 20.9876996)","(-116.964662, 32.5010188)","(-120.7678602, 37.1641544)"
1973,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","Riverside-San Bernardino, CA ","(-116.964662, 32.5010188)","(-116.964662, 32.5010188)","(-117.3455744, 34.0109957)"
1982,"Ciudad de México, Distrito Federal","Mexicali, Baja California del Norte","Riverside-San Bernardino, CA ","(-99.1248161, 19.3997047)","(-115.448325, 32.6248622)","(-117.3455744, 34.0109957)"
1978,Guanajuato,"Mexicali, Baja California del Norte","Riverside-San Bernardino, CA ","(-101.0, 20.9876996)","(-115.448325, 32.6248622)","(-117.3455744, 34.0109957)"
1982,"Ciudad de México, Distrito Federal","Mexicali, Baja California del Norte","Riverside-San Bernardino, CA ","(-99.1248161, 19.3997047)","(-115.448325, 32.6248622)","(-117.3455744, 34.0109957)"
1983,Guanajuato,"Mexicali, Baja California del Norte","Riverside-San Bernardino, CA ","(-101.0, 20.9876996)","(-115.448325, 32.6248622)","(-117.3455744, 34.0109957)"
1975,"Ciudad de México, Distrito Federal","Mexicali, Baja California del Norte","Merced, CA ","(-99.1248161, 19.3997047)","(-115.448325, 32.6248622)","(-120.7678602, 37.1641544)"
1976,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1946,Jalisco,"Juárez, Chihuahua",,"(-103.6666671, 20.3333331)","(-106.0277621, 28.6517723)","(11.0480288, 46.3144754)"
1972,Jalisco,"Tijuana, Baja California del Norte","Santa Cruz-Watsonville, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-121.7658825, 36.8994945)"
1982,"Santiago Ixcuintla, Nayarit","Tijuana, Baja California del Norte","Santa Cruz-Watsonville, CA ","(-105.55198949609715, 21.959108)","(-116.964662, 32.5010188)","(-121.7658825, 36.8994945)"
1989,Jalisco,"Tijuana, Baja California del Norte","Chicago, IL ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-87.6244212, 41.8755616)"
1959,Jalisco,"Juárez, Chihuahua",,"(-103.6666671, 20.3333331)","(-106.0277621, 28.6517723)","(11.0480288, 46.3144754)"
1988,Jalisco,"Tijuana, Baja California del Norte","Merced, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-120.7678602, 37.1641544)"
1957,Jalisco,"Mexicali, Baja California del Norte","Sacramento, CA ","(-103.6666671, 20.3333331)","(-115.448325, 32.6248622)","(-121.493895, 38.5810606)"
1966,Jalisco,"Mexicali, Baja California del Norte",,"(-103.6666671, 20.3333331)","(-115.448325, 32.6248622)","(11.0480288, 46.3144754)"
